rank,name,country_code,confederation,total_points,previous_rank,previous_points,points_change,last_update_date
29,Chile,CHI,CONMEBOL,1509.61,29,1514.86,-5.25,2022-10-06T00:00:00Z
30,Tunisia,TUN,CAF,1507.54,30,1507.86,-0.32,2022-10-06T00:00:00Z
31,Costa Rica,CRC,CONCACAF,1503.59,34,1500.06,3.53,2022-10-06T00:00:00Z
32,Nigeria,NGA,CAF,1498.47,31,1504.70,-6.23,2022-10-06T00:00:00Z
33,Russia,RUS,UEFA,1496.11,35,1493.42,2.69,2022-10-06T00:00:00Z
34,Austria,AUT,UEFA,1492.95,33,1502.47,-9.52,2022-10-06T00:00:00Z
35,Czechia,CZE,UEFA,1492.21,32,1502.90,-10.69,2022-10-06T00:00:00Z
36,Hungary,HUN,UEFA,1492.20,37,1486.76,5.44,2022-10-06T00:00:00Z
37,Algeria,ALG,CAF,1489.10,41,1480.59,8.51,2022-10-06T00:00:00Z
38,Australia,AUS,AFC,1488.72,39,1483.73,4.99,2022-10-06T00:00:00Z
39,Egypt,EGY,CAF,1486.44,40,1482.63,3.81,2022-10-06T00:00:00Z
40,Scotland,SCO,UEFA,1479.53,45,1462.96,16.57,2022-10-06T00:00:00Z
41,Canada,CAN,CONCACAF,1475.00,43,1473.82,1.18,2022-10-06T00:00:00Z
42,Norway,NOR,UEFA,1473.04,36,1488.57,-15.53,2022-10-06T00:00:00Z
43,Cameroon,CMR,CAF,1471.44,38,1484.95,-13.51,2022-10-06T00:00:00Z
44,Ecuador,ECU,CONMEBOL,1464.39,44,1463.74,0.65,2022-10-06T00:00:00Z
45,Türkiye,TUR,UEFA,1460.14,42,1475.13,-14.99,2022-10-06T00:00:00Z
46,Mali,MLI,CAF,1448.85,46,1442.88,5.97,2022-10-06T00:00:00Z
47,Paraguay,PAR,CONMEBOL,1448.77,50,1440.13,8.64,2022-10-06T00:00:00Z
48,Côte d'Ivoire,CIV,CAF,1443.06,52,1435.91,7.15,2022-10-06T00:00:00Z
49,Republic of Ireland,IRL,UEFA,1440.19,47,1442.48,-2.29,2022-10-06T00:00:00Z
50,Qatar,QAT,AFC,1439.89,48,1441.97,-2.08,2022-10-06T00:00:00Z
51,Saudi Arabia,KSA,AFC,1437.78,53,1435.74,2.04,2022-10-06T00:00:00Z
52,Greece,GRE,UEFA,1437.60,49,1441.45,-3.85,2022-10-06T00:00:00Z
53,Romania,ROU,UEFA,1434.68,54,1427.84,6.84,2022-10-06T00:00:00Z
54,Burkina Faso,BFA,CAF,1432.25,55,1425.64,6.61,2022-10-06T00:00:00Z
55,Slovakia,SVK,UEFA,1425.59,51,1439.99,-14.40,2022-10-06T00:00:00Z
56,Finland,FIN,UEFA,1405.60,59,1398.41,7.19,2022-10-06T00:00:00Z
57,Venezuela,VEN,CONMEBOL,1404.37,56,1405.17,-0.80,2022-10-06T00:00:00Z
58,Bosnia and Herzegovina,BIH,UEFA,1403.51,57,1403.98,-0.47,2022-10-06T00:00:00Z
59,Northern Ireland,NIR,UEFA,1396.55,58,1399.10,-2.55,2022-10-06T00:00:00Z
60,Panama,PAN,CONCACAF,1393.28,61,1389.27,4.01,2022-10-06T00:00:00Z
61,Ghana,GHA,CAF,1393.00,60,1393.47,-0.47,2022-10-06T00:00:00Z
62,Iceland,ISL,UEFA,1384.41,63,1379.61,4.80,2022-10-06T00:00:00Z
63,Slovenia,SVN,UEFA,1384.04,65,1372.48,11.56,2022-10-06T00:00:00Z
64,Jamaica,JAM,CONCACAF,1378.86,62,1382.06,-3.20,2022-10-06T00:00:00Z
65,North Macedonia,MKD,UEFA,1358.51,64,1375.20,-16.69,2022-10-06T00:00:00Z
66,Albania,ALB,UEFA,1354.11,66,1361.81,-7.70,2022-10-06T00:00:00Z
67,South Africa,RSA,CAF,1349.59,68,1350.55,-0.96,2022-10-06T00:00:00Z
68,Iraq,IRQ,AFC,1343.01,70,1338.91,4.10,2022-10-06T00:00:00Z
69,Montenegro,MNE,UEFA,1341.03,67,1354.59,-13.56,2022-10-06T00:00:00Z
70,United Arab Emirates,UAE,AFC,1337.57,69,1346.09,-8.52,2022-10-06T00:00:00Z
71,Cabo Verde,CPV,CAF,1336.05,73,1331.46,4.59,2022-10-06T00:00:00Z
72,Bulgaria,BUL,UEFA,1335.36,74,1325.16,10.20,2022-10-06T00:00:00Z
73,Congo DR,COD,CAF,1333.92,72,1332.84,1.08,2022-10-06T00:00:00Z
74,El Salvador,SLV,CONCACAF,1330.51,71,1333.48,-2.97,2022-10-06T00:00:00Z
75,Oman,OMA,AFC,1320.29,75,1323.03,-2.74,2022-10-06T00:00:00Z
76,Israel,ISR,UEFA,1316.55,76,1316.35,0.20,2022-10-06T00:00:00Z
77,Uzbekistan,UZB,AFC,1309.98,77,1306.63,3.35,2022-10-06T00:00:00Z
78,Georgia,GEO,UEFA,1307.34,82,1296.46,10.88,2022-10-06T00:00:00Z
79,China PR,CHN,AFC,1305.06,78,1305.06,0.00,2022-10-06T00:00:00Z
80,Honduras,HON,CONCACAF,1301.98,80,1299.69,2.29,2022-10-06T00:00:00Z
81,Gabon,GAB,CAF,1301.84,79,1301.84,0.00,2022-10-06T00:00:00Z
82,Bolivia,BOL,CONMEBOL,1296.28,81,1298.81,-2.53,2022-10-06T00:00:00Z
83,Guinea,GUI,CAF,1290.47,83,1294.89,-4.42,2022-10-06T00:00:00Z
84,Jordan,JOR,AFC,1289.99,86,1279.74,10.25,2022-10-06T00:00:00Z
85,Bahrain,BHR,AFC,1280.64,85,1289.25,-8.61,2022-10-06T00:00:00Z
86,Curaçao,CUW,CONCACAF,1278.64,84,1293.35,-14.71,2022-10-06T00:00:00Z
87,Haiti,HAI,CONCACAF,1269.07,88,1269.07,0.00,2022-10-06T00:00:00Z
88,Zambia,ZAM,CAF,1267.41,87,1270.80,-3.39,2022-10-06T00:00:00Z
89,Uganda,UGA,CAF,1260.69,90,1264.56,-3.87,2022-10-06T00:00:00Z
90,Syria,SYR,AFC,1255.92,89,1265.03,-9.11,2022-10-06T00:00:00Z
91,Benin,BEN,CAF,1247.47,91,1258.71,-11.24,2022-10-06T00:00:00Z
92,Luxembourg,LUX,UEFA,1243.80,93,1235.36,8.44,2022-10-06T00:00:00Z
93,Armenia,ARM,UEFA,1233.93,92,1242.42,-8.49,2022-10-06T00:00:00Z
94,Palestine,PLE,AFC,1233.72,94,1233.72,0.00,2022-10-06T00:00:00Z
95,Kyrgyz Republic,KGZ,AFC,1230.22,95,1232.91,-2.69,2022-10-06T00:00:00Z
96,Vietnam,VIE,AFC,1226.65,97,1218.84,7.81,2022-10-06T00:00:00Z
97,Belarus,BLR,UEFA,1221.06,96,1226.55,-5.49,2022-10-06T00:00:00Z
98,Equatorial Guinea,EQG,CAF,1215.66,98,1215.33,0.33,2022-10-06T00:00:00Z
99,Lebanon,LBN,AFC,1211.71,100,1211.71,0.00,2022-10-06T00:00:00Z
100,Congo,CGO,CAF,1208.79,99,1215.09,-6.30,2022-10-06T00:00:00Z
101,Kenya,KEN,CAF,1202.26,102,1202.26,0.00,2022-10-06T00:00:00Z
102,Madagascar,MAD,CAF,1200.74,105,1193.78,6.96,2022-10-06T00:00:00Z
103,Mauritania,MTN,CAF,1197.58,107,1181.86,15.72,2022-10-06T00:00:00Z
104,Trinidad and Tobago,TRI,CONCACAF,1195.29,101,1205.85,-10.56,2022-10-06T00:00:00Z
105,New Zealand,NZL,OFC,1193.98,103,1198.96,-4.98,2022-10-06T00:00:00Z
106,India,IND,AFC,1192.09,104,1198.65,-6.56,2022-10-06T00:00:00Z
107,Kosovo,KOS,UEFA,1187.01,106,1183.90,3.11,2022-10-06T00:00:00Z
108,Tajikistan,TJK,AFC,1185.70,109,1179.10,6.60,2022-10-06T00:00:00Z
109,Estonia,EST,UEFA,1184.64,110,1177.40,7.24,2022-10-06T00:00:00Z
110,Cyprus,CYP,UEFA,1183.82,108,1180.52,3.30,2022-10-06T00:00:00Z
111,Thailand,THA,AFC,1174.92,111,1170.69,4.23,2022-10-06T00:00:00Z
112,Korea DPR,PRK,AFC,1169.96,112,1169.96,0.00,2022-10-06T00:00:00Z
113,Kazakhstan,KAZ,UEFA,1166.63,114,1166.28,0.35,2022-10-06T00:00:00Z
114,Mozambique,MOZ,CAF,1165.22,116,1165.41,-0.19,2022-10-06T00:00:00Z
115,Namibia,NAM,CAF,1164.13,117,1164.13,0.00,2022-10-06T00:00:00Z
116,Guinea-Bissau,GNB,CAF,1160.71,115,1165.53,-4.82,2022-10-06T00:00:00Z
117,Sierra Leone,SLE,CAF,1160.31,113,1169.71,-9.40,2022-10-06T00:00:00Z
118,Guatemala,GUA,CONCACAF,1156.70,118,1161.96,-5.26,2022-10-06T00:00:00Z
119,Angola,ANG,CAF,1155.90,120,1149.08,6.82,2022-10-06T00:00:00Z
120,Libya,LBY,CAF,1154.25,121,1148.36,5.89,2022-10-06T00:00:00Z
121,Niger,NIG,CAF,1152.80,119,1155.23,-2.43,2022-10-06T00:00:00Z
122,Faroe Islands,FRO,UEFA,1147.17,125,1136.29,10.88,2022-10-06T00:00:00Z
123,Azerbaijan,AZE,UEFA,1146.72,128,1127.17,19.55,2022-10-06T00:00:00Z
124,Malawi,MWI,CAF,1144.97,122,1144.77,0.20,2022-10-06T00:00:00Z
125,Zimbabwe,ZIM,CAF,1138.56,123,1138.56,0.00,2022-10-06T00:00:00Z
126,The Gambia,GAM,CAF,1137.47,124,1137.47,0.00,2022-10-06T00:00:00Z
127,Togo,TOG,CAF,1128.92,126,1130.22,-1.30,2022-10-06T00:00:00Z
128,Sudan,SDN,CAF,1127.34,130,1124.91,2.43,2022-10-06T00:00:00Z
129,Comoros,COM,CAF,1123.18,127,1127.44,-4.26,2022-10-06T00:00:00Z
130,Tanzania,TAN,CAF,1119.89,131,1121.91,-2.02,2022-10-06T00:00:00Z
131,Antigua and Barbuda,ATG,CONCACAF,1117.01,132,1117.01,0.00,2022-10-06T00:00:00Z
132,Central African Republic,CTA,CAF,1116.97,133,1116.06,0.91,2022-10-06T00:00:00Z
133,Philippines,PHI,AFC,1115.13,134,1115.13,0.00,2022-10-06T00:00:00Z
134,Latvia,LVA,UEFA,1114.21,129,1125.36,-11.15,2022-10-06T00:00:00Z
135,Turkmenistan,TKM,AFC,1100.47,135,1100.47,0.00,2022-10-06T00:00:00Z
136,Solomon Islands,SOL,OFC,1095.70,137,1092.56,3.14,2022-10-06T00:00:00Z
137,Rwanda,RWA,CAF,1093.66,136,1095.04,-1.38,2022-10-06T00:00:00Z
138,Ethiopia,ETH,CAF,1091.19,138,1088.27,2.92,2022-10-06T00:00:00Z
139,Suriname,SUR,CONCACAF,1077.30,143,1072.24,5.06,2022-10-06T00:00:00Z
140,St Kitts and Nevis,SKN,CONCACAF,1076.91,140,1076.91,0.00,2022-10-06T00:00:00Z
141,Burundi,BDI,CAF,1076.26,141,1076.26,0.00,2022-10-06T00:00:00Z
142,Nicaragua,NCA,CONCACAF,1071.83,139,1079.18,-7.35,2022-10-06T00:00:00Z
143,Eswatini,SWZ,CAF,1070.89,144,1070.89,0.00,2022-10-06T00:00:00Z
144,Lithuania,LTU,UEFA,1069.75,142,1074.08,-4.33,2022-10-06T00:00:00Z
145,Hong Kong,HKG,AFC,1062.39,147,1058.37,4.02,2022-10-06T00:00:00Z
146,Malaysia,MAS,AFC,1062.32,148,1057.59,4.73,2022-10-06T00:00:00Z
147,Lesotho,LES,CAF,1061.40,145,1061.40,0.00,2022-10-06T00:00:00Z
148,Botswana,BOT,CAF,1056.46,146,1060.17,-3.71,2022-10-06T00:00:00Z
149,Kuwait,KUW,AFC,1053.41,149,1053.41,0.00,2022-10-06T00:00:00Z
150,Liberia,LBR,CAF,1049.66,150,1051.25,-1.59,2022-10-06T00:00:00Z
151,Andorra,AND,UEFA,1035.20,152,1028.70,6.50,2022-10-06T00:00:00Z
152,Indonesia,IDN,AFC,1033.90,155,1019.19,14.71,2022-10-06T00:00:00Z
153,Dominican Republic,DOM,CONCACAF,1031.86,151,1031.86,0.00,2022-10-06T00:00:00Z
154,Maldives,MDV,AFC,1026.09,156,1018.25,7.84,2022-10-06T00:00:00Z
155,Yemen,YEM,AFC,1023.52,153,1023.52,0.00,2022-10-06T00:00:00Z
156,Afghanistan,AFG,AFC,1023.04,154,1023.04,0.00,2022-10-06T00:00:00Z
157,Chinese Taipei,TPE,AFC,1017.78,157,1017.78,0.00,2022-10-06T00:00:00Z
158,Myanmar,MYA,AFC,1007.89,158,1011.91,-4.02,2022-10-06T00:00:00Z
159,Papua New Guinea,PNG,OFC,1007.46,161,997.60,9.86,2022-10-06T00:00:00Z
160,Singapore,SGP,AFC,1003.50,159,1004.75,-1.25,2022-10-06T00:00:00Z
161,New Caledonia,NCL,OFC,995.58,160,999.70,-4.12,2022-10-06T00:00:00Z
162,Tahiti,TAH,OFC,995.11,162,995.11,0.00,2022-10-06T00:00:00Z
163,Fiji,FIJ,OFC,989.43,163,993.37,-3.94,2022-10-06T00:00:00Z
164,Vanuatu,VAN,OFC,985.62,164,990.55,-4.93,2022-10-06T00:00:00Z
165,South Sudan,SSD,CAF,983.99,165,983.99,0.00,2022-10-06T00:00:00Z
166,Barbados,BRB,CONCACAF,982.27,166,982.27,0.00,2022-10-06T00:00:00Z
167,Cuba,CUB,CONCACAF,978.65,167,978.65,0.00,2022-10-06T00:00:00Z
168,Malta,MLT,UEFA,977.92,169,974.68,3.24,2022-10-06T00:00:00Z
169,Bermuda,BER,CONCACAF,977.47,168,977.47,0.00,2022-10-06T00:00:00Z
170,Puerto Rico,PUR,CONCACAF,974.32,170,974.32,0.00,2022-10-06T00:00:00Z
171,Guyana,GUY,CONCACAF,968.74,172,968.74,0.00,2022-10-06T00:00:00Z
172,St Lucia,LCA,CONCACAF,965.66,173,965.66,0.00,2022-10-06T00:00:00Z
173,Grenada,GRN,CONCACAF,963.72,171,969.00,-5.28,2022-10-06T00:00:00Z
174,Moldova,MDA,UEFA,961.23,177,944.96,16.27,2022-10-06T00:00:00Z
175,Nepal,NEP,AFC,954.86,176,950.45,4.41,2022-10-06T00:00:00Z
176,Belize,BLZ,CONCACAF,950.88,175,950.88,0.00,2022-10-06T00:00:00Z
177,Cambodia,CAM,AFC,948.62,174,954.30,-5.68,2022-10-06T00:00:00Z
178,St Vincent and the Grenadines,VIN,CONCACAF,945.25,179,939.97,5.28,2022-10-06T00:00:00Z
179,Montserrat,MSR,CONCACAF,940.78,178,940.78,0.00,2022-10-06T00:00:00Z
180,Mauritius,MRI,CAF,932.02,180,932.02,0.00,2022-10-06T00:00:00Z
181,Chad,CHA,CAF,930.22,181,931.98,-1.76,2022-10-06T00:00:00Z
182,Macau,MAC,AFC,922.10,182,922.10,0.00,2022-10-06T00:00:00Z
183,Mongolia,MNG,AFC,913.55,184,913.55,0.00,2022-10-06T00:00:00Z
184,Dominica,DMA,CONCACAF,911.51,185,911.51,0.00,2022-10-06T00:00:00Z
185,Bhutan,BHU,AFC,910.96,186,910.96,0.00,2022-10-06T00:00:00Z
186,São Tomé and Príncipe,STP,CAF,908.18,187,908.18,0.00,2022-10-06T00:00:00Z
187,Laos,LAO,AFC,905.51,183,914.66,-9.15,2022-10-06T00:00:00Z
188,American Samoa,ASA,OFC,900.27,188,900.27,0.00,2022-10-06T00:00:00Z
189,Cook Islands,COK,OFC,899.33,189,899.33,0.00,2022-10-06T00:00:00Z
190,Brunei Darussalam,BRU,AFC,898.41,190,897.10,1.31,2022-10-06T00:00:00Z
191,Samoa,SAM,OFC,894.26,191,894.26,0.00,2022-10-06T00:00:00Z
192,Bangladesh,BAN,AFC,884.45,192,883.18,1.27,2022-10-06T00:00:00Z
193,Djibouti,DJI,CAF,875.05,193,877.84,-2.79,2022-10-06T00:00:00Z
194,Pakistan,PAK,AFC,866.81,195,866.81,0.00,2022-10-06T00:00:00Z
195,Cayman Islands,CAY,CONCACAF,865.72,196,865.72,0.00,2022-10-06T00:00:00Z
196,Liechtenstein,LIE,UEFA,862.39,194,873.99,-11.60,2022-10-06T00:00:00Z
197,Tonga,TGA,OFC,861.81,197,861.81,0.00,2022-10-06T00:00:00Z
198,Timor-Leste,TLS,AFC,860.06,199,860.06,0.00,2022-10-06T00:00:00Z
199,Seychelles,SEY,CAF,859.56,198,860.48,-0.92,2022-10-06T00:00:00Z
200,Eritrea,ERI,CAF,855.56,201,855.56,0.00,2022-10-06T00:00:00Z
201,Aruba,ARU,CONCACAF,855.37,202,855.37,0.00,2022-10-06T00:00:00Z
202,Bahamas,BAH,CONCACAF,854.80,203,854.80,0.00,2022-10-06T00:00:00Z
203,Somalia,SOM,CAF,854.72,204,854.72,0.00,2022-10-06T00:00:00Z
204,Gibraltar,GIB,UEFA,852.16,200,856.55,-4.39,2022-10-06T00:00:00Z
205,Guam,GUM,AFC,838.33,205,838.33,0.00,2022-10-06T00:00:00Z
206,Turks and Caicos Islands,TCA,CONCACAF,832.00,206,832.00,0.00,2022-10-06T00:00:00Z
207,Sri Lanka,SRI,AFC,825.25,207,825.25,0.00,2022-10-06T00:00:00Z
208,US Virgin Islands,VIR,CONCACAF,823.97,208,823.97,0.00,2022-10-06T00:00:00Z
209,British Virgin Islands,VGB,CONCACAF,809.32,209,809.32,0.00,2022-10-06T00:00:00Z
210,Anguilla,AIA,CONCACAF,790.74,210,790.74,0.00,2022-10-06T00:00:00Z
211,San Marino,SMR,UEFA,762.22,211,763.82,-1.60,2022-10-06T00:00:00Z
